issue_id,GPT-4o Summary,pred_score,Are the threads actually derailed?,Error Category,Additional Category
1042480816,"The GitHub conversation begins with alopix raising a concern about the discrepancy between the published package contents and the repository code. sindresorhus responds with a technical clarification, which alopix counters by referencing release dates and branch strategies. Qix- then steps in to correct alopix, providing detailed technical evidence and expressing frustration over the misunderstanding. The conversation exhibits tension primarily due to a technical disagreement, with Qix- displaying an assured-dominant social orientation and a tone of impatience and frustration. The conversation is preemptively locked by Qix- to prevent further escalation.",0.7,Yes,Model was Correct - No Error,
1069658114,"The GitHub conversation begins with SecretlyJealous reporting a bug related to a flag parsing error in the PlotSquared plugin. NotMyFault responds by stating they could not replicate the issue and requests further steps for reproduction. SecretlyJealous provides additional details and logs, showing the error persists. SirYwell suggests a syntax correction, which SecretlyJealous implements but reports that the issue remains unresolved. The conversation is marked by a technical disagreement and a tone of bitter frustration from SecretlyJealous, who is seeking a resolution to the persistent error.",0.7,No,Misinterpretation of tones of comment,Misinterpretation of trigger
1132576171,"The GitHub conversation begins with PylotLight reporting a bug related to enabling ingressclass on an app, providing detailed logs and configuration screenshots. Ornias1993 responds by stating that IngressClass has never been supported, which could be seen as a technical disagreement. Ornias1993 also expresses frustration by pointing out that a support ticket should have been filed first. The tone here is somewhat impatient and dismissive. The conversation concludes with a bot acknowledging the bug report and an admin locking the issue to prevent further comments. The overall trajectory shows a quick escalation from a bug report to a somewhat tense exchange, ending with administrative closure.",0.8,No,Misinterpretation of tones of comment,
1160862933,"The GitHub conversation begins with a user expressing frustration over political messaging in the Composer tool, which triggers a series of responses. The main elements include initial complaints, responses from maintainers, and further community reactions. Tension arises from 'Politics/ideology' and 'Communication Breakdown,' with social orientations leaning towards Assured-Dominant and Cold. Sentiments expressed include Bitter Frustration, Impatience, and Mocking, with linguistic features such as questioning, reasoning, and negation highlighting the tones. The conversation escalates with participants debating the appropriateness of political messages in technical tools, leading to a polarized and heated discussion.",1,Yes,Model was Correct - No Error,
1167844591,"The GitHub conversation begins with Michael18811380328 reporting a technical issue regarding a crashed main page and a domain name resolution error. KevinZonda and ghost acknowledge the problem, with ghost suggesting that the domain name registration might have expired. The conversation takes a turn when nishidashabia makes an inappropriate comment, which KevinZonda addresses with evident frustration. The overall tone shifts from technical troubleshooting to a brief moment of tension due to the inappropriate remark, before KevinZonda suggests reverting to GitHub as a fallback solution. The interaction reflects a mix of technical discussion and a brief social conflict, resolved by refocusing on the technical issue.",0.6,Yes,Model was Correct - No Error,
1169650672,"The GitHub conversation begins with a user expressing frustration over political messaging in a tool, which is met with a dismissive and sarcastic response. This triggers a heated exchange, with another participant accusing the original poster of virtue signaling and defending the inclusion of social issues in the tool. The conversation escalates quickly, with the original poster responding with explicit hostility. The interaction is marked by bitter frustration, impatience, and mocking tones, with participants using second-person pronouns, negation, and emphasis terms to convey their strong emotions and disagreements.",1,Yes,Model was Correct - No Error,
1173445086,"The GitHub conversation begins with a proposal to combat PoC rewards gaming by introducing a Hotspot establishment period. Initial responses include technical disagreements, with participants suggesting alternative solutions such as GPS validation and expressing skepticism about the effectiveness of the proposed measures. The tone of the conversation is marked by impatience and frustration, particularly from those who view the proposal as a temporary fix rather than a long-term solution. The discussion also features reasoning and questioning, with participants debating the feasibility and potential impact of various approaches. Ultimately, the conversation concludes with a moderator noting the proposal's stagnation and suggesting closure due to a lack of ongoing discussion, reflecting a sense of resignation and procedural formality.",0.6,No,The issue was locked/ closed,Misinterpretation of tones of comment
1175937111,"The GitHub conversation begins with a technical proposal by stanfieldr, which is met with a politically charged objection from paxperscientiam, highlighting the ongoing conflict between Russia and Ukraine. This introduces a trigger of 'Politics/ideology'. Stanfieldr responds with a reasoned argument, suggesting an alternative solution and emphasizing the difficulty of accommodating all political messages. The social orientation here leans towards Assured-Dominant, with a tone of reasoning and negation. Seldaek concludes the conversation with a dismissive remark, indicating a Cold social orientation and a tone of finality. The overall sentiment transitions from a technical focus to a politically sensitive disagreement, ending with a firm rejection of the proposed changes.",1,Yes,Model was Correct - No Error,
1176322857,"The GitHub conversation begins with a detailed proposal for improving the governance of the DEWI LoRaWAN committee, highlighting the need for transparency, conflict of interest declarations, and stakeholder inclusion. The initial responses are positive, with participants expressing appreciation and support for the proposal. However, tension arises when the conversation shifts to the implementation and acknowledgment of the proposal, with some participants expressing frustration over the perceived lack of action and communication from the Helium Foundation. The social orientation during these moments of tension can be characterized as Assured-Dominant, with sentiments of Bitter Frustration and Impatience evident. Linguistic features such as questioning, reasoning, and emphasis terms are used to convey these tones. The conversation concludes with a call for more serious and timely governance actions from the Helium Foundation, reflecting ongoing concerns about the process and transparency.",0.7,Yes,Model was Correct - No Error,
1179107768,"The GitHub conversation begins with Quilava1 expressing confusion and concern over a political message displayed during a package installation, fearing it indicated malware. This triggers a series of responses, with Seldaek dismissing the concern as an overreaction and implying poor security practices. The conversation escalates as almazdanilov and kryoz introduce political and technical criticisms, with almazdanilov suggesting an alternative tool and kryoz sarcastically commenting on Seldaek's political stance. Politsin provides a technical workaround, further indicating dissatisfaction with the current state of the tool. The overall tone of the conversation is marked by frustration, sarcasm, and a mix of technical and political disagreement, reflecting a Cold and Assured-Dominant social orientation.",0.8,Yes,Model was Correct - No Error,
1180065959,"The GitHub conversation begins with Nohac reporting an issue with the app Traefik, where HTTP requests are being redirected to HTTPS, which he finds unnecessary for his use case. Ornias1993 responds dismissively, asserting that using HTTPS is essential in 2022 and labeling the issue as not a bug. Nohac counters by reiterating his use case and noting that the suggested solution did not work. The conversation concludes with truecharts-admin locking the issue to prevent further comments, directing Nohac to create a new issue or seek help on Discord if the problem persists. The interaction is marked by a technical disagreement and a communication breakdown, with tones of impatience and dismissiveness from Ornias1993 and frustration from Nohac.",0.8,Yes,Model was Correct - No Error,
1184994229,"The GitHub conversation begins with a participant expressing frustration over the inclusion of politics in open source projects. This triggers a technical disagreement, with another participant sarcastically challenging the ease of maintaining a forked project. The social orientation shifts towards Assured-Dominant, with tones of Bitter Frustration and Mocking evident in the responses. The conversation reflects a mix of impatience and sarcasm, highlighting underlying tensions and differing perspectives on the role of politics in open source development.",1,Yes,Model was Correct - No Error,
1206241855,"The GitHub conversation begins with a critique of the quality of an image and a missing comma in a file. The initial response is direct and critical, suggesting a higher resolution image or deletion. The follow-up comment reiterates the dissatisfaction with the image quality. The final response from the original poster is sarcastic, indicating frustration and mockery. The interaction is marked by technical disagreement and a communication breakdown, with sentiments of impatience and mocking evident in the language used.",1,Yes,Model was Correct - No Error,
1269755152,"The GitHub conversation begins with MR-EHAB11 attempting to report a bug but failing to provide a detailed description, which triggers a response from 0xdavidel labeling the issue as a ""dummy issue"" and suggesting it be deleted. This leads to confusion and questioning from both MR-EHAB11 and pablodz, indicating a communication breakdown. The tone of the conversation shifts to one of impatience and mild frustration, particularly from 0xdavidel, who points out the lack of content in the initial bug report. The interaction reflects a Cold social orientation, with participants focusing on the procedural error rather than collaborative problem-solving.",0.7,IGNORE,Other ,Seems like issue author was confused from the beginning
1290215934,"The GitHub conversation begins with a user, fhtfc, making a controversial statement about various social movements, including LGBT rights, and questioning the avatars of project contributors. This triggers a response from KevinZonda, expressing disbelief. gxres042 then provides a detailed rebuttal, defending the freedom of contributors to choose their avatars and supporting LGBT rights. The conversation escalates as gxres042 warns fhtfc about the consequences of their statements and criticizes their narrow-minded views. The tone of the conversation is marked by tension, with gxres042 displaying impatience and frustration, and fhtfc's initial comment reflecting a dismissive and provocative attitude. The social orientation of the interaction is assured-dominant, with gxres042 taking a firm stance against fhtfc's views.",1,Excluded,Not-in-english,
1299934235,"The GitHub conversation begins with Nofated095 expressing doubts and frustrations about their previous support for the transgender community, particularly focusing on perceived misuse of resources and involvement in sex work. This triggers a series of responses from other participants, leading to a technical disagreement and communication breakdown. The social orientation of the conversation shifts towards Assured-Dominant and Cold, with participants displaying sentiments of Bitter Frustration, Impatience, and Mocking. Linguistic features such as second-person pronouns, questioning, reasoning, and negation highlight the tonal changes. The conversation concludes with Nofated095 apologizing for their earlier statements and reaffirming their support for the LGBT community, while other participants suggest moving the discussion to a more appropriate forum.",1,Excluded,Not-in-english,
1306424457,"The GitHub conversation begins with tracker1 suggesting a feature to support Deno and browser loaders by including `.ts` extensions in TypeScript files. MartinJohns responds with a brief reference to a related issue, which tracker1 clarifies, expressing frustration over the handling of file extensions and emphasizing the importance of addressing the issue. MartinJohns counters by pointing out the ongoing status of the referenced issue and reiterates the TypeScript team's stance against path rewriting. Tracker1 insists on the similarity of the issues, while DanielRosenwasser concludes by stating the team's reluctance to transform paths but mentions a related consideration. The conversation exhibits a mix of technical disagreement and communication breakdown, with sentiments of frustration and impatience, particularly from tracker1.",0.7,No,"Acknowledges tensions, but overestimates effect",
1333178643,"The GitHub conversation revolves around a recurring issue where loaded maps are not displayed on various devices. The main elements include users reporting the problem, suggesting potential fixes, and sharing their experiences. Tension arises primarily from the 'Failed use of code/tool or error messages' trigger, with some instances of 'Technical Disagreement'. The social orientation is generally Assured-Dominant, with some Cold interactions. Sentiments expressed include Bitter Frustration and Impatience, particularly from users who repeatedly face the issue despite trying suggested solutions. Linguistic features such as questioning, reasoning, and emphasis terms highlight the frustration and urgency in resolving the problem. Overall, the conversation trajectory shows a collaborative yet strained effort to diagnose and fix the map rendering issue across different devices and configurations.",0.7,No,Misinterpretation of trigger,Model got Social Orienatation Tag Wrong
1449384750,"The GitHub conversation begins with xstar97 proposing a bugfix and refactor, detailing the changes and testing procedures. Tension arises when stavros-k questions the utility of the app if users must configure it via shell, suggesting either a templated UI or removal. xstar97 responds with a technical challenge regarding templating custom JS objects, which stavros-k dismisses as easily solvable. The exchange reflects a technical disagreement with a tone of impatience and frustration, particularly from stavros-k. The conversation concludes with xstar97 deciding to close the PR, and truecharts-admin locking the thread to prevent further discussion.",0.7,No,"Acknowledges tensions, but overestimates effect",The issue was locked
1450071740,"The GitHub conversation begins with a user, jadsy2107, reporting an issue with the installation of a helm chart. The initial response from bikram990 identifies a potential cause related to a recent update. Ornias1993 then intervenes, directing the user to follow announcements on social media and explaining that helm charts are no longer supported, which could lead to cluster damage if used improperly. This response triggers a tension point when bikram990 expresses frustration over the lack of such critical information in the project README. Ornias1993 responds with a somewhat dismissive tone, indicating that such announcements have never been included in the README and implying that the issue will resolve itself. The conversation exhibits elements of technical disagreement and communication breakdown, with sentiments of frustration and impatience evident, particularly from bikram990. The tone from Ornias1993 can be characterized as assured-dominant and somewhat cold, reflecting a firm stance on the project's communication practices.",0.7,Yes,Model was Correct - No Error,
1527548744,"The GitHub conversation begins with voxik expressing concern over a RubyGems update suggestion that may not be suitable for Fedora users, potentially causing harm. Deivid-rodriguez responds by directing voxik to a pull request for options to disable the banner. Simi's response includes a mocking tone, suggesting a solution and referencing previous recommendations. Voxik concludes the conversation with a brief acknowledgment of the provided guidance. The interaction includes elements of technical disagreement and a slight communication breakdown, with sentiments of impatience and mild frustration evident in the responses.",0.7,No,Misinterpretation of tones of comment,
1620165643,"The GitHub conversation begins with Oman395 reporting a bug after updating a tool, expressing confusion and seeking help. Carlosala provides a solution, which Oman395 confirms works but questions why the update caused the issue and suggests a potential improvement. Rwmitchell responds by attributing the problem to user error, implying that Oman395 did not properly manage the update process. The conversation reflects a mix of helpfulness and mild frustration, with a tone shift towards slight impatience and condescension in the final response.",0.6,Yes,Model was Correct - No Error,
1665316056,"The GitHub conversation begins with a user reporting an error after upgrading a version, which triggers a technical discussion. The main elements include users identifying the problem, suggesting solutions, and debating the best course of action. Tension arises due to a technical disagreement about the implementation of strict XSD validation in the DoctrineBundle. The social orientation is primarily Assured-Dominant, with participants confidently asserting their viewpoints. Sentiments expressed include frustration and impatience, particularly from users affected by the change. Linguistic features such as questioning, reasoning, and emphasis terms highlight the technical nature of the debate. The conversation trajectory moves from problem identification to a heated discussion on potential solutions, culminating in a proposal to revert the change temporarily while a long-term fix is considered.",0.7,No,"Acknowledges tensions, but overestimates effect","Summary seems like correct but overemphasing tones when there are lots of technical disagreement.
Conversation entangelment with referencing other issues."
1957305607,"The GitHub conversation begins with romitp4l proposing the addition of a Code of Conduct, which is met with immediate questioning by razetime regarding the lack of prior community discussion. Phred and mrjbq7 express concerns about the legitimacy of the PR, noting a pattern of similar submissions by romitp4l, suggesting it might be spam. Tension arises from the perceived misuse of the Hacktoberfest event for superficial contributions. The social orientation is Assured-Dominant, with participants asserting control over the repository's standards. Sentiments of frustration and skepticism are evident, particularly from mrjbq7, who labels the PR as hacktoberfest-spam. Romitp4l responds with an apology, expressing regret and a desire to improve, and requests the removal of the spam label, highlighting genuine contributions. The conversation concludes with mrjbq7 reiterating the importance of meaningful contributions and the burden of handling superficial PRs, emphasizing the true spirit of Hacktoberfest.",0.7,Yes,Model was Correct - No Error,
2044991681,"The GitHub conversation begins with Shane9248 reporting an issue with the YouTube ReVanced application, specifically regarding the default sorting of videos. The conversation includes multiple participants, with xDARKxDEVILx expressing confusion and mild frustration about the new ""for you"" button, which they have not encountered. Shane9248 responds with a mix of agreement and sarcasm, criticizing Google's changes. The discussion continues with shared sentiments of frustration and a desire for the return of the ""sort by oldest"" feature. Temepest74 and genesisrhapsodos98 join in, expressing impatience and annoyance over the lack of a patch. The overall tone of the conversation is marked by shared frustration and a sense of community among users facing the same issue.",0.6,Yes,Model was Correct - No Error,
2044991682,"The GitHub conversation begins with muchisx reporting a bug related to video playback issues. oSumAtrIX responds with a reference to a previous issue and asserts certainty about the fix, suggesting user error. Elias-Graf and other users, including Nathanwoodburn and Loadren, report similar issues despite following the suggested fix, leading to a technical disagreement. oSumAtrIX maintains a dominant and somewhat dismissive tone, implying user error. The conversation includes elements of frustration and impatience from users who continue to experience the problem. Marcelalani offers a potential solution, which Nathanwoodburn confirms as effective after some trial and error. The overall tone shifts from frustration to tentative resolution as users collaborate to troubleshoot the issue.",0.7,No,"Acknowledges tensions, but overestimates effect",Summary seems like correct but overemphasing tones when there are lots of technical disagreement
2044991685,"The GitHub conversation begins with Qaz-7 proposing a patch to unlock Telegram Premium features without subscribing. This suggestion is met with skepticism and technical disagreement from other participants, including wolf-yuan-6115 and reisxd, who argue that the premium features are server-sided. Qaz-7 persists, leading to a communication breakdown as oSumAtrIX closes the issue, citing server-side limitations. Despite this, Qaz-7 continues to advocate for modifying the APK to unlock premium features. The conversation is marked by a tone of impatience and frustration, particularly from Qaz-7, who repeatedly insists on the feasibility of their approach despite contrary technical explanations.",0.8,No,Misinterpretation of trigger,Issue was locked/closed comment
